Date,Store_ID,SKU,Product_Name,Units_Sold,Unit_Price,Total_Sales
2025-09-01,101,SKU001,Wireless Mouse,15,199.99,2999.85
2025-09-01,101,SKU002,USB-C Charger,8,249.50,1996.00
2025-09-01,102,SKU001,Wireless Mouse,10,199.99,1999.90
2025-09-02,101,SKU001,Wireless Mouse,5,199.99,999.95
2025-09-02,102,SKU003,Laptop Stand,12,349.00,4188.00
2025-09-03,101,SKU002,USB-C Charger,0,249.50,0.00
2025-09-03,102,SKU001,Wireless Mouse,3,199.99,599.97
2025-09-04,101,SKU003,Laptop Stand,7,349.00,2443.00
2025-09-04,102,SKU002,USB-C Charger,6,249.50,1497.00
2025-09-05,101,SKU001,Wireless Mouse,0,199.99,0.00
